Return to Table of Contents.,,,,,,,,,
ERO Administrative Arrests by Criminality: Fiscal Years 2014 to 2023 (September 2023),,,,,,,,,
,,,Convicted Criminals,,,,Non-Criminal,,
Fiscal Year,Month,Total,Total Convicted,Aggravated Felons,Felons,Other/ Unknown,Total Non-Criminal,Pending Criminal Charges,Other Immigration Violator
,July,"11,750 ","7,900 ",NA,NA,NA,"3,860 ","2,520 ","1,340 "
,August,"11,510 ","7,200 ",NA,NA,NA,"4,320 ","2,570 ","1,750 "
,September,"10,960 ","6,870 ",NA,NA,NA,"4,100 ","2,670 ","1,430 "
2020,Total,"103,600 ","70,610 ",NA,NA,NA,"33,000 ","22,450 ","10,540 "
,October,"11,880 ","7,850 ",NA,NA,NA,"4,030 ","2,440 ","1,590 "
,November,"9,820 ","6,550 ",NA,NA,NA,"3,270 ","2,060 ","1,220 "
,December,"10,140 ","6,880 ",NA,NA,NA,"3,260 ","2,210 ","1,040 "
,January,"12,130 ","7,960 ",NA,NA,NA,"4,170 ","2,500 ","1,670 "
,February,"11,870 ","7,600 ",NA,NA,NA,"4,260 ","2,550 ","1,720 "
,March,"10,430 ","7,010 ",NA,NA,NA,"3,420 ","2,200 ","1,220 "
,April,"5,790 ","4,720 ",NA,NA,NA,"1,080 ",910 ,170 
,May,"5,580 ","4,150 ",NA,NA,NA,"1,430 ","1,200 ",230 
,June,"5,460 ","4,010 ",NA,NA,NA,"1,450 ","1,180 ",270 
,July,"6,250 ","4,470 ",NA,NA,NA,"1,780 ","1,380 ",400 
,August,"7,080 ","4,770 ",NA,NA,NA,"2,310 ","1,880 ",430 
,September,"7,170 ","4,640 ",NA,NA,NA,"2,540 ","1,950 ",590 
2021,Total,"74,080 ","36,620 ",NA,NA,NA,"37,460 ","8,810 ","28,650 "
,October,"7,420 ","5,040 ",NA,NA,NA,"2,380 ","1,790 ",600 
,November,"6,610 ","4,500 ",NA,NA,NA,"2,110 ","1,630 ",480 
,December,"6,680 ","4,530 ",NA,NA,NA,"2,150 ","1,620 ",520 
,January,"5,910 ","4,030 ",NA,NA,NA,"1,880 ","1,290 ",590 
,February,"2,450 ","1,910 ",NA,NA,NA,540 ,220 ,320 
,March,"2,640 ","2,140 ",NA,NA,NA,500 ,210 ,300 
,April,"3,690 ","2,220 ",NA,NA,NA,"1,470 ",250 ,"1,220 "
,May,"4,830 ","2,260 ",NA,NA,NA,"2,570 ",280 ,"2,290 "
,June,"7,170 ","2,500 ",NA,NA,NA,"4,660 ",290 ,"4,370 "
,July,"7,110 ","2,370 ",NA,NA,NA,"4,740 ",290 ,"4,450 "
,August,"8,100 ","2,520 ",NA,NA,NA,"5,580 ",410 ,"5,180 "
,September,"11,490 ","2,600 ",NA,NA,NA,"8,890 ",550 ,"8,340 "
2022,Total,"142,750 ","36,320 ","12,640 ","11,290 ","12,400 ","106,430 ","10,070 ","96,350 "
,October,"11,380 ","2,450 ","1,060 ",830 ,570 ,"8,920 ",810 ,"8,110 "
,November,"13,110 ","2,490 ","1,140 ",850 ,500 ,"10,620 ",480 ,"10,140 "
,December,"8,620 ","2,260 ","1,050 ",660 ,550 ,"6,360 ",420 ,"5,940 "
,January,"8,490 ","2,350 ","1,030 ",620 ,700 ,"6,130 ",490 ,"5,640 "
,February,"10,240 ","2,610 ","1,080 ",770 ,770 ,"7,630 ",460 ,"7,170 "
,March,"12,690 ","3,170 ","1,280 ",890 ,"1,000 ","9,520 ",660 ,"8,870 "
,April,"11,410 ","3,090 ","1,100 ",900 ,"1,090 ","8,320 ",750 ,"7,570 "
,May,"11,020 ","3,180 ","1,110 ",880 ,"1,200 ","7,840 ",800 ,"7,030 "
,June,"11,950 ","3,220 ","1,090 ",970 ,"1,160 ","8,730 ",760 ,"7,980 "
,July,"12,950 ","3,410 ",980 ,"1,100 ","1,330 ","9,550 ","1,230 ","8,320 "
,August,"16,040 ","4,100 ",900 ,"1,430 ","1,770 ","11,940 ","1,620 ","10,320 "
,September,"14,860 ","3,990 ",820 ,"1,400 ","1,770 ","10,870 ","1,600 ","9,270 "
2023,Total,"170,590 ","53,770 ","11,320 ","19,250 ","23,200 ","116,820 ","20,060 ","96,770 "
,October,"16,630 ","3,970 ",780 ,"1,380 ","1,820 ","12,660 ","1,540 ","11,120 "
,November,"16,310 ","3,990 ",780 ,"1,460 ","1,760 ","12,320 ","1,550 ","10,770 "
,December,"15,130 ","3,860 ",780 ,"1,410 ","1,670 ","11,270 ","1,360 ","9,910 "
,January,"18,170 ","4,180 ",890 ,"1,490 ","1,800 ","13,990 ","1,550 ","12,440 "
,February,"16,150 ","4,530 ","1,180 ","1,590 ","1,760 ","11,620 ","1,580 ","10,040 "
,March,"15,900 ","5,430 ","1,180 ","1,970 ","2,280 ","10,470 ","1,790 ","8,690 "
,April,"13,380 ","4,500 ",880 ,"1,630 ","2,000 ","8,880 ","1,680 ","7,210 "
,May,"13,800 ","4,980 ",990 ,"1,780 ","2,210 ","8,810 ","1,900 ","6,910 "
,June,"12,690 ","4,910 ","1,000 ","1,760 ","2,150 ","7,780 ","1,900 ","5,880 "
,July,"11,610 ","4,650 ",930 ,"1,570 ","2,150 ","6,960 ","2,040 ","4,920 "
,August,"11,190 ","4,730 ","1,030 ","1,720 ","1,970 ","6,470 ","1,600 ","4,870 "
,September,"9,630 ","4,030 ",900 ,"1,490 ","1,640 ","5,600 ","1,580 ","4,020 "
NA Not available.,,,,,,,,,
"Notes: In order to protect privacy, table cells are rounded to the nearest ten. The totals do not sum due to rounding. Table is limited to administrative arrests; criminality refers to the criminal records of the administrative arrestees. Other immigration violators are administrative arrestees with no criminal records and no pending criminal charges.  Criminality breakout based on ERO system of record. Aggravated felons, felons, and other are subsets of convicted criminals. Data on pending criminal charges not available prior to 2018. ICE ERO began systematically classifying conviction subcategories beginning in FY 2016 and updated its reporting methodology in 2022; OHSS data are limited to conviction subcategory data based on the updated methodology and thus subcategory data are not available prior to FY 2022 for the purpose of this report.  Records may not match Component reporting due to differences in reporting methodologies. Data are current as of October 31, 2023; future reporting may include updates to previous reports’ data.",,,,,,,,,
Source: Office of Homeland Security Statistics Persist Dataset.,,,,,,,,,
,,,,,,,,,
